name,uuid,version,tree_hash,source_kind,is_direct_dep,git_revision
ArgTools,0dad84c5-d112-42e6-8d28-ef12dabb789f,1.1.2,,stdlib,false,
Artifacts,56f22d72-fd6d-98f1-02f0-08ddc0907c33,1.11.0,,stdlib,false,
Base64,2a0f44e3-6c83-55bd-87e4-b1978d98bd5f,1.11.0,,stdlib,false,
BenchmarkTools,6e4b80f9-dd63-53aa-95a3-0cdb28fa8baf,1.7.0,6876e30dc02dc69f0613cb6ece242144f2ca9e56,registry,false,
Bzip2_jll,6e34b625-4abd-537c-b88f-471c36dfa7a0,1.0.9+0,1b96ea4a01afe0ea4090c5c8039690672dd13f2e,registry,false,
CRlibm,96374032-68de-5a5b-8d9e-752f78720389,1.0.2,66188d9d103b92b6cd705214242e27f5737a1e5e,registry,false,
CRlibm_jll,4e9b3aee-d8a1-5a3d-ad8b-7d824db253f0,1.0.1+0,e329286945d0cfc04456972ea732551869af1cfc,registry,false,
CSV,336ed68f-0bac-5ca0-87d4-7b16caf5d00b,0.10.16,8d8e0b0f350b8e1c91420b5e64e5de774c2f0f4d,registry,true,
CodecBzip2,523fee87-0ab8-5b00-afb7-3ecf72e48cfd,0.8.5,84990fa864b7f2b4901901ca12736e45ee79068c,registry,false,
CodecZlib,944b1d66-785c-5afd-91f1-9de20f533193,0.7.8,962834c22b66e32aa10f7611c08c8ca4e20749a9,registry,false,
CommonSubexpressions,bbf7d656-a473-5ed7-a52c-81e309532950,0.3.1,cda2cfaebb4be89c9084adaca7dd7333369715c5,registry,false,
Compat,34da2185-b29b-5c13-b0c7-acf172513d20,4.18.1,9d8a54ce4b17aa5bdce0ea5c34bc5e7c340d16ad,registry,false,
CompilerSupportLibraries_jll,e66e0078-7015-5450-92f7-15fbd957f2ae,1.3.0+1,,stdlib,false,
CoreMath,b7a15901-be09-4a0e-87d2-2e66b0e09b5a,0.1.0,8c0480f92b1b1796239156a1b9b1bfb1b39499b4,registry,false,
CoreMath_jll,a38c48d9-6df1-5ac9-9223-b6ada3b5572b,0.1.0+0,a692a4c1dc59a4b8bc0b6403876eb3250fde2bc3,registry,false,
Crayons,a8cc5b0e-0ffa-5ad4-8c14-923d3ee1735f,4.1.1,249fe38abf76d48563e2f4556bebd215aa317e15,registry,false,
DataAPI,9a962f9c-6df0-11e9-0e5d-c546b8b5ee8a,1.16.0,abe83f3a2f1b857aac70ef8b269080af17764bbe,registry,false,
DataFrames,a93c6f00-e57d-5684-b7b6-d8193f3e46c0,1.8.1,d8928e9169ff76c6281f39a659f9bca3a573f24c,registry,true,
DataStructures,864edb3b-99cc-5e75-8d2d-829cb0a9cfe8,0.19.4,e86f4a2805f7f19bec5129bc9150c38208e5dc23,registry,false,
DataValueInterfaces,e2d170a0-9d28-54be-80f0-106bbe20a464,1.0.0,bfc1187b79289637fa0ef6d4436ebdfe6905cbd6,registry,false,
Dates,ade2ca70-3891-5945-98fb-dc099432e06a,1.11.0,,stdlib,true,
DelimitedFiles,8bb1440f-4735-579b-a4ab-409b98df4dab,1.9.1,9e2f36d3c96a820c678f2f1f1782582fcf685bae,registry,false,
DiffResults,163ba53b-c6d8-5494-b064-1a9d43ac40c5,1.1.0,782dd5f4561f5d267313f23853baaaa4c52ea621,registry,false,
DiffRules,b552c78f-8df3-52c6-915a-8e097449b14b,1.15.1,23163d55f885173722d1e4cf0f6110cdbaf7e272,registry,false,
Distributed,8ba89e20-285c-5b6f-9357-94700520ee1b,1.11.0,,stdlib,false,
DocStringExtensions,ffbed154-4ef7-542d-bbb7-c09d3a79fcae,0.9.5,7442a5dfe1ebb773c29cc2962a8980f47221d76c,registry,false,
Downloads,f43a241f-c20a-4ad4-852c-f6b1247861c6,1.7.0,,stdlib,false,
FilePathsBase,48062228-2e41-5def-b9a4-89aafe57970f,0.9.24,3bab2c5aa25e7840a4b065805c0cdfc01f3068d2,registry,false,
FileWatching,7b1f6079-737a-58dc-b8bc-7a2ca5c1b5ee,1.11.0,,stdlib,false,
ForwardDiff,f6369f11-7733-5829-9624-2563aa707210,1.3.3,cddeab6487248a39dae1a960fff0ac17b2a28888,registry,false,
Future,9fa8497b-333b-5362-9e8d-4d0656e87820,1.11.0,,stdlib,false,
HDF5,f67ccb44-e63f-5c2f-98bd-6dc0ccc4ba2f,0.17.2,e856eef26cf5bf2b0f95f8f4fc37553c72c8641c,registry,false,
HDF5_jll,0234f1f7-429e-5d53-9886-15a909be8d59,1.14.6+0,e94f84da9af7ce9c6be049e9067e511e17ff89ec,registry,false,
HiGHS,87dc4568-4c63-4d18-b0c0-bb2238e4078b,1.23.0,bf5e946f72ebd1b4620249a6be7ff34832ba9ca0,registry,true,
HiGHS_jll,8fd58aa0-07eb-5a78-9b36-339c94fd15ea,1.14.0+0,50ed12dc8c37ebb8d2b759f21755259d8512f2bd,registry,false,
Hwloc_jll,e33a78d0-f292-5ffc-b300-72abe9b543c8,2.13.0+1,baaaebd42ed9ee1bd9173cfd56910e55a8622ee1,registry,false,
InlineStrings,842dd82b-1e85-43dc-bf29-5d0ee9dffc48,1.4.5,8f3d257792a522b4601c24a577954b0a8cd7334d,registry,false,
InteractiveUtils,b77e0a4c-d291-57a0-90e8-8db25a27a240,1.11.0,,stdlib,false,
IntervalArithmetic,d1acc4aa-44c8-5952-acd4-ba5d80a2a253,1.0.6,f1c42fcaca2d8034fe392f3e86c2e0809f75b2a1,registry,false,
InvertedIndices,41ab1584-1d38-5bbf-9106-f11c6c58b48f,1.3.1,6da3c4316095de0f5ee2ebd875df8721e7e0bdbe,registry,false,
IrrationalConstants,92d709cd-6900-40b7-9082-c6be49f344b6,0.2.6,b2d91fe939cae05960e760110b328288867b5758,registry,false,
IteratorInterfaceExtensions,82899510-4779-5014-852e-03e436cf321d,1.0.0,a3f24677c21f5bbe9d2a714f95dcd58337fb2856,registry,false,
JLLWrappers,692b3bcd-3c85-4b1f-b108-f13ce0eb3210,1.7.1,0533e564aae234aff59ab625543145446d8b6ec2,registry,false,
JSON,682c06a0-de6a-54ab-a142-c8b1cf79cde6,1.5.0,67c6f1f085cb2671c93fe34244c9cccde30f7a26,registry,false,
JuMP,4076af6c-e467-56ae-b986-b466b2749572,1.30.0,4091a1338a0e32766b11b9bd3fac247d34200c77,registry,true,
